Country Name,Country Code,Series Name,Series Code,2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
Malaysia,MYS,Total greenhouse gas emissions excluding LULUCF per capita (t CO2e/capita),EN.GHG.ALL.PC.CE.AR5,10.0992729335759,9.63023418393269,10.071637105662,10.0495914829951,9.77468579586749,9.968125811159,10.4282160222835,..
Malaysia,MYS,Total greenhouse gas emissions including LULUCF (Mt CO2e),EN.GHG.ALL.LU.MT.CE.AR5,76.7073,66.2479,84.6281,87.9824,82.8359,..,..,..
Philippines,PHL,Total greenhouse gas emissions excluding LULUCF (Mt CO2e),EN.GHG.ALL.MT.CE.AR5,221.0061,239.3556,246.0017,253.3634,242.6124,254.3997,265.2654,..
Philippines,PHL,Total greenhouse gas emissions excluding LULUCF (% change from 1990),EN.GHG.TOT.ZG.AR5,101.318004437983,118.032858563886,124.086897747851,130.792788459787,120.999529967316,131.736770766153,141.634511329974,..
Philippines,PHL,Total greenhouse gas emissions excluding LULUCF per capita (t CO2e/capita),EN.GHG.ALL.PC.CE.AR5,2.10732337975667,2.24244858001144,2.26585923791243,2.29535744276695,2.16249476105373,2.23392138456082,2.29549735927555,..
Philippines,PHL,Total greenhouse gas emissions including LULUCF (Mt CO2e),EN.GHG.ALL.LU.MT.CE.AR5,115.8947,134.2442,140.8903,148.252,137.501,..,..,..
Singapore,SGP,Total greenhouse gas emissions excluding LULUCF (Mt CO2e),EN.GHG.ALL.MT.CE.AR5,65.1049,70.398,68.5271,71.0242,69.4075,71.3397,70.4695,..
Singapore,SGP,Total greenhouse gas emissions excluding LULUCF (% change from 1990),EN.GHG.TOT.ZG.AR5,90.347394395846,105.822846985077,100.352890957571,107.653669832062,102.926919118679,108.576098142864,106.031891752818,..
Singapore,SGP,Total greenhouse gas emissions excluding LULUCF per capita (t CO2e/capita),EN.GHG.ALL.PC.CE.AR5,11.6107747727375,12.5436255279297,12.1530479850234,12.4525888965313,12.2071501899379,13.0812939643529,12.5011930058105,..
Singapore,SGP,Total greenhouse gas emissions including LULUCF (Mt CO2e),EN.GHG.ALL.LU.MT.CE.AR5,64.8657,70.1588,68.2879,70.785,69.1683,..,..,..
Thailand,THA,Total greenhouse gas emissions excluding LULUCF (Mt CO2e),EN.GHG.ALL.MT.CE.AR5,449.9043,449.4402,446.2726,453.5459,449.38,455.6514,463.8545,..
Thailand,THA,Total greenhouse gas emissions excluding LULUCF (% change from 1990),EN.GHG.TOT.ZG.AR5,102.762985450239,102.553824743067,101.126249961692,104.404182673327,102.526693791609,105.353089953977,109.050065168365,..
Thailand,THA,Total greenhouse gas emissions excluding LULUCF per capita (t CO2e/capita),EN.GHG.ALL.PC.CE.AR5,6.37194703411786,6.33923269309425,6.27423577632836,6.36040005910717,6.28717489074323,6.36374833499423,6.46964734801428,..
Thailand,THA,Total greenhouse gas emissions including LULUCF (Mt CO2e),EN.GHG.ALL.LU.MT.CE.AR5,433.7187,433.2546,430.087,437.3603,433.1944,..,..,..
Viet Nam,VNM,Total greenhouse gas emissions excluding LULUCF (Mt CO2e),EN.GHG.ALL.MT.CE.AR5,379.4638,386.047,441.6205,493.4691,499.1602,496.4309,488.8638,..
Viet Nam,VNM,Total greenhouse gas emissions excluding LULUCF (% change from 1990),EN.GHG.TOT.ZG.AR5,239.695632323847,245.588906693403,295.338250960101,341.753068294735,346.847735594009,344.404468833645,337.630408121246,..
Viet Nam,VNM,Total greenhouse gas emissions excluding LULUCF per capita (t CO2e/capita),EN.GHG.ALL.PC.CE.AR5,4.07471215855151,4.10543961097592,4.65283271767287,5.15228669982796,5.16468692771143,5.0932690964747,4.97891285978237,..
